Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,63.500000,67.000000,56.000000,58.000000,58.000000,19428400
2019-06-13,63.860001,69.669998,61.599998,67.559998,67.559998,10923900
2019-06-14,69.779999,70.790001,63.020000,64.160004,64.160004,6264200
2019-06-17,64.750000,70.010002,62.000000,70.010002,70.010002,3247500
2019-06-18,73.000000,78.699997,71.500000,76.500000,76.500000,6612600
2019-06-19,78.750000,79.790001,73.555000,77.220001,77.220001,3319100
2019-06-20,78.000000,78.220001,70.690002,74.849998,74.849998,3429600
2019-06-21,72.459999,73.928001,68.300003,72.230003,72.230003,2657500
2019-06-24,71.050003,72.389999,65.080002,67.970001,67.970001,2448000
2019-06-25,67.099998,68.989998,61.169998,61.520000,61.520000,2480200
2019-06-26,63.299999,64.919998,62.005001,62.650002,62.650002,1625500
2019-06-27,63.389999,64.995003,62.570999,63.279999,63.279999,914500
2019-06-28,64.360001,68.379997,63.299999,68.290001,68.290001,1474300
2019-07-01,69.099998,69.728996,61.810001,63.200001,63.200001,2670900
2019-07-02,63.299999,65.029999,61.721001,64.519997,64.519997,1735600
2019-07-03,64.680000,67.480003,64.519997,67.239998,67.239998,1564100
2019-07-05,67.150002,67.250000,64.839996,67.209999,67.209999,804900
2019-07-08,68.260002,71.714996,66.900002,66.910004,66.910004,4567200
2019-07-09,67.419998,69.199997,66.879997,68.449997,68.449997,1782700
2019-07-10,70.000000,74.500000,69.500000,74.339996,74.339996,2719300
2019-07-11,74.500000,74.980003,70.500000,70.879997,70.879997,2351800
2019-07-12,71.599998,75.199997,70.500000,73.500000,73.500000,1838300
2019-07-15,74.000000,74.294998,71.400002,71.599998,71.599998,1325100
2019-07-16,71.930000,73.086998,69.000000,69.540001,69.540001,1582300
2019-07-17,70.000000,71.559998,69.589996,71.000000,71.000000,1037000
2019-07-18,71.000000,74.190002,70.150002,72.750000,72.750000,3390000
2019-07-19,85.160004,85.849998,80.750000,83.519997,83.519997,13669000
2019-07-22,82.269997,88.500000,82.080002,87.680000,87.680000,5357700
2019-07-23,88.320000,89.440002,84.489998,86.739998,86.739998,2529800
2019-07-24,86.790001,87.849998,85.500000,87.459999,87.459999,1250700
2019-07-25,87.500000,93.338997,87.000000,92.279999,92.279999,3270400
2019-07-26,93.040001,95.500000,91.910004,92.879997,92.879997,2053000
2019-07-29,93.690002,93.900002,82.650002,87.230003,87.230003,3317800
2019-07-30,86.000000,96.190002,84.000000,94.000000,94.000000,3127200
2019-07-31,93.949997,94.801003,86.817001,89.070000,89.070000,2476000
